Hisse Kodu	Şirket Adı	Sektör(ler)
TLMAN	Trabzon Liman İşletmeciliği A.Ş.	Ulaştırma
KOZAA	TR Anadolu Metal Madencilik İşletmeleri A.Ş.	—
LILAK	Lila Kağıt Sanayi ve Ticaret A.Ş.	Kağıt ve Kağıt Ürünleri
KMPUR	Kimteks Poliüretan Sanayi ve Ticaret A.Ş.	Kimya ve Plastik
MIATK	Mia Teknoloji A.Ş.	Bilişim ve Yazılım
OTTO	Otto Holding A.Ş.	Holding
PGSUS	Pegasus Hava Taşımacılığı A.Ş.	Ulaştırma
PETUN	Pınar Entegre Et ve Un Sanayii A.Ş.	Gıda ve İçecek
AGESA	Agesa Hayat ve Emeklilik A.Ş.	Emeklilik
AHGAZ	Ahlatcı Doğal Gaz Dağıtım Enerji ve Yatırım A.Ş.	Enerji Üretim ve Dağıtım
AKYHO	Akdeniz Yatırım Holding A.Ş.	Destek ve Hizmet
AKENR	Akenerji Elektrik Üretim A.Ş.	Enerji Üretim ve Dağıtım
TSGYO	TSKB Gayrimenkul Yatırım Ortaklığı A.Ş.	Gayrimenkul
BALSU	Balsu Gıda Sanayi ve Ticaret A.Ş.	Gıda ve İçecek
DOFER	Dofer Yapı Malzemeleri Sanayi ve Ticaret A.Ş.	İmalat
EDATA	E-Data Teknoloji Pazarlama A.Ş.	Bilişim ve Yazılım
EFOR	Efor Yatırım Sanayi Ticaret A.Ş.	Kimya ve Plastik, Gıda ve İçecek
ISATR	Türkiye İş Bankası A.Ş.	Bankacılık
OZATD	Özata Denizcilik Sanayi ve Ticaret A.Ş.	İmalat
INTEK	İnnosa Teknoloji A.Ş.	Bilişim ve Yazılım
NETAS	Netaş Telekomünikasyon A.Ş.	Bilişim ve Yazılım, Haberleşme
QUAGR	QUA Granite Hayal Yapı ve Ürünleri Sanayi Ticaret A.Ş.	Cam, Seramik, Porselen
RODRG	Rodrigo Tekstil Sanayi ve Ticaret A.Ş.	Tekstil, Giyim ve Deri, Giyim, Tekstil ve Deri Ürünleri Perakendeciliği
SURGY	Sur Tatil Evleri Gayrimenkul Yatırım Ortaklığı A.Ş.	Gayrimenkul
SMRVA	Sümer Varlık Yönetim A.Ş.	Varlık Yönetimi
TOASO	Tofaş Türk Otomobil Fabrikası A.Ş.	Otomotiv, İmalat
TRGYO	Torunlar Gayrimenkul Yatırım Ortaklığı A.Ş.	Gayrimenkul
ISKUR	Türkiye İş Bankası A.Ş.	Bankacılık
AKFYE	Akfen Yenilenebilir Enerji A.Ş	Enerji Üretim ve Dağıtım
TUPRS	TÜPRAŞ - Türkiye Petrol Rafinerileri A.Ş.	Kimya ve Plastik
MANAS	Manas Enerji Yönetimi Sanayi ve Ticaret A.Ş.	Enerji Üretim ve Dağıtım
NUGYO	Nurol Gayrimenkul Yatırım Ortaklığı A.Ş.	Gayrimenkul
GENIL	Gen İlaç ve Sağlık Ürünleri Sanayi ve Ticaret A.Ş.	İlaç ve Sağlık
INVES	Investco Holding A.Ş.	Holding
SNGYO	Sinpaş Gayrimenkul Yatırım Ortaklığı A.Ş.	Gayrimenkul
AZTEK	Aztek Teknoloji Ürünleri Ticaret A.Ş.	Bilişim ve Yazılım, Toptan ve Perakende Ticaret, Teknolojik Ürün Ticareti
BIGEN	Birleşim Grup Enerji Yatırımları A.Ş.	Enerji Üretim ve Dağıtım
GLRYH	Güler Yatırım Holding A.Ş.	Holding
UZERB	İnnosa Teknoloji A.Ş.	—
SKYMD	Şeker Yatırım Menkul Değerler A.Ş.	Aracı Kurum
UNLU	Ünlü Yatırım Holding A.Ş.	Holding
ANGEN	Anatolia Tanı ve Biyoteknoloji Ürünleri Araştırma Geliştirme Sanayi ve Ticaret A.Ş.	İlaç ve Sağlık
BRKO	Birko Birleşik Koyunlulular Mensucat Ticaret ve Sanayi A.Ş.	Tekstil, Giyim ve Deri, İmalat
EREGL	Ereğli Demir ve Çelik Fabrikaları T.A.Ş.	Ana Metal, İmalat
TEZOL	Europap Tezol Kağıt Sanayi ve Ticaret A.Ş.	Kağıt ve Kağıt Ürünleri
AKMGY	Akmerkez Gayrimenkul Yatırım Ortaklığı A.Ş.	Gayrimenkul
BRISA	Brisa Bridgestone Sabancı Lastik Sanayi ve Ticaret A.Ş.	Otomotiv Yan Sanayi, Kimya ve Plastik, İmalat
DOFRB	Dof Robotik Sanayi A.Ş.	Bilişim ve Yazılım, İmalat
